"Name.of.Covered.Entity","State","Covered.Entity.Type","Individuals.Affected","Breach.Submission.Date","Type.of.Breach","Location.of.Breached.Information"
"Henderson County Urgent Care Centers, Inc. dba Margaret R. Pardee Memorial Hospital","NC","Healthcare Provider",590,2019-07-01,"Theft","Paper/Films"
"Summa Health","OH","Healthcare Provider",7989,2019-06-28,"Hacking/IT Incident","Email"
"Summa Health","OH","Healthcare Provider",2904,2019-06-28,"Hacking/IT Incident","Email"
"Southwest Gastroenterology","IL","Healthcare Provider",1600,2019-06-28,"Theft","Electronic Medical Record"
"Byham's Insurance Services Inc.","PA","Healthcare Clearing House",1600,2019-06-27,"Unauthorized Access/Disclosure","Desktop Computer, Email, Network Server"
"Wyoming Department of Health","WY","Health Plan",2154,2019-06-25,"Unauthorized Access/Disclosure","Email"
"Addison County Home Health & Hospice","VT","Healthcare Provider",758,2019-06-25,"Hacking/IT Incident","Email"
"University of Iowa Hospitals & Clinics","IA","Healthcare Provider",950,2019-06-25,"Unauthorized Access/Disclosure","Email"
"Franciscan Alliance, Inc.","IN","Healthcare Provider",2180,2019-06-24,"Unauthorized Access/Disclosure","Electronic Medical Record"
"Dominion Dental Services, Inc., Dominion National Insurance Company, and Dominion Dental Services USA, Inc.","VA","Health Plan",2964778,2019-06-21,"Hacking/IT Incident","Network Server"
"Adventist Health Physician Services","CA","Healthcare Provider",3797,2019-06-21,"Improper Disposal","Paper/Films"
"Boulevard Surgical Associates","CA","Healthcare Provider",542,2019-06-20,"Theft","Paper/Films"
"Community Physicians Group","AR","Healthcare Provider",5400,2019-06-20,"Hacking/IT Incident","Email"
"EyeCare Partners, LLC [on behalf of affiliated covered entities]","MO","Healthcare Provider",141165,2019-06-19,"Hacking/IT Incident","Network Server"
"Henry Ford Health System","MI","Healthcare Provider",1404,2019-06-19,"Unauthorized Access/Disclosure","Email"
"Huntridge Family Clinic","NV","Healthcare Provider",2000,2019-06-18,"Unauthorized Access/Disclosure","Paper/Films"
"Clear Dermatology and Aesthetics Center","AZ","Healthcare Provider",1282,2019-06-17,"Theft","Laptop, Other Portable Electronic Device"
"Community Healthlink","MA","Healthcare Provider",4598,2019-06-17,"Hacking/IT Incident","Email"
"Inform Diagnostics, Inc.","TX","Healthcare Provider",173617,2019-06-14,"Hacking/IT Incident","Network Server"
"Desert Healthcare Services, LLC","AZ","Healthcare Provider",8000,2019-06-11,"Hacking/IT Incident","Network Server"
"Kansas City VAMC","MO","Healthcare Provider",534,2019-06-11,"Unauthorized Access/Disclosure","Paper/Films"
"Sunshine State Health Plan, Inc.","FL","Health Plan",2000,2019-06-07,"Unauthorized Access/Disclosure","Other"
"Kingman Healthcare Incorporated","AZ","Healthcare Provider",1100,2019-06-07,"Unauthorized Access/Disclosure","Other"
"Elim Care","MN","Healthcare Provider",2500,2019-06-07,"Hacking/IT Incident","Network Server"
"Worcester Eye Consultants","MA","Healthcare Provider",2634,2019-06-07,"Loss","Other"
"CAPITOL CARDIOLOGY ASSOCIATES","MD","Healthcare Provider",1980,2019-06-07,"Unauthorized Access/Disclosure","Desktop Computer"
"SOUTHERN MARYLAND MEDICAL GROUP LLC","MD","Healthcare Provider",1400,2019-06-07,"Unauthorized Access/Disclosure","Desktop Computer"
"Shingle Springs Health and Wellness Center","CA","Healthcare Provider",21513,2019-06-05,"Hacking/IT Incident","Network Server"
"Rosenbaum Dental Group","FL","Healthcare Provider",1200,2019-06-04,"Hacking/IT Incident","Desktop Computer"
"Humana Inc","KY","Health Plan",863,2019-06-03,"Unauthorized Access/Disclosure","Network Server"
"Health Quest Systems, Inc. ","NY","Healthcare Provider",372043,2019-05-31,"Hacking/IT Incident","Email"
"City of Georgetown Fire Department","TX","Healthcare Provider",719,2019-05-31,"Loss","Other Portable Electronic Device"
"Broome County, New York","NY","Healthcare Provider",7048,2019-05-31,"Hacking/IT Incident","Email"
"Cerpassrx, LLC","TX","Health Plan",2513,2019-05-31,"Hacking/IT Incident","Email"
"The Union Labor Life Insurance Company","MD","Health Plan",87400,2019-05-31,"Hacking/IT Incident","Email"
"Capital City Paincare","OH","Healthcare Provider",1012,2019-05-31,"Hacking/IT Incident","Network Server"
"Takai, Hoover, and Hsu, P.A.","MD","Healthcare Provider",16542,2019-05-29,"Unauthorized Access/Disclosure","Desktop Computer, Electronic Medical Record"
"Sunshine Family Dentistry","TX","Healthcare Provider",800,2019-05-27,"Theft","Network Server"
"Monroe County Hospital","GA","Healthcare Provider",10970,2019-05-25,"Hacking/IT Incident","Email"
"Maranatha Village Inc.","MO","Healthcare Provider",520,2019-05-24,"Hacking/IT Incident","Email"
"Healthfirst","NY","Health Plan",1811,2019-05-24,"Unauthorized Access/Disclosure","Paper/Films"
"Talley Medical Surgical Eyecare Associates, PC","IN","Healthcare Provider",106000,2019-05-24,"Unauthorized Access/Disclosure","Desktop Computer, Electronic Medical Record, Email, Laptop, Network Server"
"TriHealth Physician Practices","OH","Healthcare Provider",2433,2019-05-24,"Unauthorized Access/Disclosure","Email"
"Mercy Health Saint Mary's","MI","Healthcare Provider",978,2019-05-24,"Hacking/IT Incident","Network Server"
"Centura Health","CO","Healthcare Provider",7515,2019-05-22,"Hacking/IT Incident","Email"
"Northwestern Health Sciences University","MN","Healthcare Provider",1198,2019-05-21,"Hacking/IT Incident","Email"
"Hematology Oncology Associates, PC","OR","Healthcare Provider",16073,2019-05-21,"Hacking/IT Incident","Email"
"Penn Medicine","PA","Healthcare Provider",917,2019-05-21,"Unauthorized Access/Disclosure","Electronic Medical Record"
"Special Health Resources for Texas, Inc. ","TX","Healthcare Provider",567,2019-05-21,"Unauthorized Access/Disclosure","Electronic Medical Record"
"Acadia Montana Treatment Center","MT","Healthcare Provider",14794,2019-05-17,"Hacking/IT Incident","Email"
"Cigna","CT","Health Plan",3720,2019-05-16,"Hacking/IT Incident","Other"
"Aeroflow Inc.","NC","Healthcare Provider",4450,2019-05-16,"Hacking/IT Incident","Network Server"
"Aging Disability and Transit Services of Rockingham County  ","NC","Healthcare Provider",14000,2019-05-15,"Hacking/IT Incident","Network Server"
"Youth Opportunity Center, Inc.","IN","Healthcare Provider",1150,2019-05-14,"Unauthorized Access/Disclosure","Paper/Films"
"Health Net, LLC.","CA","Health Plan",2404,2019-05-13,"Unauthorized Access/Disclosure","Paper/Films"
"Professional Dental Alliance of Florida PLLC d/b/a All Smiles Dentistry","FL","Healthcare Provider",1505,2019-05-13,"Unauthorized Access/Disclosure","Desktop Computer, Electronic Medical Record"
"Encompass Family and internal medicine group","CA","Healthcare Provider",507,2019-05-13,"Unauthorized Access/Disclosure","Desktop Computer, Electronic Medical Record"
"Memorial Hermann Health System","TX","Healthcare Provider",604,2019-05-13,"Unauthorized Access/Disclosure","Electronic Medical Record, Email"
"Midwest Medical Center","IL","Healthcare Provider",8010,2019-05-10,"Hacking/IT Incident","Email"
"University Medical Center Physicians","TX","Healthcare Provider",3300,2019-05-10,"Unauthorized Access/Disclosure","Network Server, Other"
"Cancer Treatment Centers of America® (CTCA) at Southeastern Regional Medical Center","GA","Healthcare Provider",16819,2019-05-10,"Hacking/IT Incident","Email"
"United Seating and Mobility LLC dba Numotion","CT","Healthcare Provider",3578,2019-05-09,"Theft","Laptop, Other Portable Electronic Device, Paper/Films"
"Fort HealthCare, Inc.","WI","Healthcare Provider",19000,2019-05-08,"Hacking/IT Incident","Email"
"Bloodworks Northwest","WA","Healthcare Provider",1893,2019-05-08,"Loss","Paper/Films"
"UnitedHealth Group Health Plan Single Affiliated Covered Entity","MN","Health Plan",20536,2019-05-08,"Unauthorized Access/Disclosure","Other"
"Independent Health Association, Inc.","NY","Health Plan",7605,2019-05-08,"Unauthorized Access/Disclosure","Email"
"Hospice Care Plus, Inc.","KY","Healthcare Provider",2033,2019-05-06,"Unauthorized Access/Disclosure","Laptop"
"American Indian Health & Services, Inc. ","CA","Healthcare Provider",3784,2019-05-06,"Unauthorized Access/Disclosure","Email"
"Community Health Network, Inc.","IN","Healthcare Provider",3600,2019-05-06,"Hacking/IT Incident","Email"
"Spectrum Health Lakeland","MI","Healthcare Provider",1100,2019-05-06,"Hacking/IT Incident","Email"
"American Medical Response, Inc.","TX","Healthcare Provider",4300,2019-05-06,"Hacking/IT Incident","Email"
"American Baptist Homes of the Midwest","MN","Healthcare Provider",10993,2019-05-06,"Hacking/IT Incident","Email, Network Server"
"The Southeastern Council on Alcoholism and Drug Dependence","CT","Healthcare Provider",25148,2019-05-01,"Hacking/IT Incident","Network Server"
"AA OBGYN PLLC","TX","Healthcare Provider",930,2019-04-30,"Unauthorized Access/Disclosure","Other"
"The City of Fort Lauderdale","FL","Health Plan",757,2019-04-29,"Unauthorized Access/Disclosure","Other"
"Partners In Care","OR","Healthcare Provider",3048,2019-04-26,"Hacking/IT Incident","Email"
"Medical Oncology Hematology Consultants, PA","DE","Healthcare Provider",8591,2019-04-26,"Hacking/IT Incident","Email"
"Health Care Service Corporation","IL","Health Plan",676,2019-04-24,"Unauthorized Access/Disclosure","Other Portable Electronic Device"
"Logansport Memorial Hospital","IN","Healthcare Provider",7877,2019-04-23,"Hacking/IT Incident","Email"
"LISA ROSE DURSO, M.D. PLLC","NY","Healthcare Provider",537,2019-04-22,"Hacking/IT Incident","Network Server"
"Area Agency on Aging and Disabilities of Southwest Washington","WA","Health Plan",7000,2019-04-22,"Unauthorized Access/Disclosure","Email"
"EmCare, Inc.","FL","Healthcare Provider",31236,2019-04-20,"Hacking/IT Incident","Email"
"Bodybuilding.com LLC, operated by Vitalize, LLC (“Vitalize, LLC”)","ID","Health Plan",3193,2019-04-19,"Hacking/IT Incident","Network Server"
"People, Inc.","NY","Healthcare Provider",970,2019-04-19,"Hacking/IT Incident","Email"
"Blue Cross of Idaho Health Service, Inc.","ID","Health Plan",6045,2019-04-19,"Unauthorized Access/Disclosure","Other"
"Partners For Quality, Inc. ","PA","Healthcare Provider",3673,2019-04-19,"Hacking/IT Incident","Email"
"KIM P. KORNEGAY, DMD","AL","Healthcare Provider",27000,2019-04-19,"Theft","Desktop Computer, Electronic Medical Record, Paper/Films"
"AltaMed Health Services Corporation","CA","Healthcare Provider",5500,2019-04-18,"Hacking/IT Incident","Network Server"
"Pediatric Orthopedic Specialties, PA, dba ActivYouth Orthopaedics","NJ","Healthcare Provider",24176,2019-04-18,"Hacking/IT Incident","Network Server"
"Gary W Peer MD","CA","Healthcare Provider",3400,2019-04-18,"Hacking/IT Incident","Network Server"
"ELENA MARIA BURUIANA PHYSICIAN P.C.","NY","Healthcare Provider",1308,2019-04-18,"Hacking/IT Incident","Network Server"
"Madison Parish Hospital Service District","LA","Healthcare Provider",1436,2019-04-18,"Unauthorized Access/Disclosure","Desktop Computer, Email"
"Alana Healthcare","TN","Healthcare Provider",2691,2019-04-18,"Hacking/IT Incident","Email"
"Center for Sight & Hearing","IL","Healthcare Provider",5319,2019-04-18,"Hacking/IT Incident","Email"
"Centrelake Medical Group, Inc.","CA","Healthcare Provider",197661,2019-04-16,"Hacking/IT Incident","Network Server"
"Gardner Family Health Network","CA","Healthcare Provider",5064,2019-04-16,"Unauthorized Access/Disclosure","Paper/Films"
"Tower Imaging, LLC","FL","Healthcare Provider",810,2019-04-16,"Theft","Laptop"
"Delta Dental of Illinois","IL","Health Plan",5092,2019-04-16,"Hacking/IT Incident","Email"
"Minnesota Eye Consultants","MN","Healthcare Provider",4556,2019-04-16,"Improper Disposal","Paper/Films"
"National Seating & Mobility, Inc. ","TN","Healthcare Provider",3800,2019-04-15,"Hacking/IT Incident","Email"
"Mid-Cities Home Medical Delivery Service, LLC","TX","Healthcare Provider",4000,2019-04-12,"Loss","Paper/Films"
"Harbor","OH","Healthcare Provider",29972,2019-04-12,"Hacking/IT Incident","Email"
"Questcare Medical Services, PLLC","TX","Healthcare Provider",5573,2019-04-12,"Hacking/IT Incident","Email"
"Dakota County","MN","Healthcare Provider",1026,2019-04-12,"Hacking/IT Incident","Email"
"Riverplace Counseling Center, Inc.","MN","Healthcare Provider",11639,2019-04-11,"Hacking/IT Incident","Network Server"
"Martinsburg VA Medical Center","WV","Healthcare Provider",4882,2019-04-11,"Unauthorized Access/Disclosure","Paper/Films"
"Minnesota Department of Human Services","MN","Healthcare Provider",10263,2019-04-09,"Hacking/IT Incident","Email"
"Rehabilitation Hospital of Northwest Ohio","OH","Healthcare Provider",1143,2019-04-08,"Hacking/IT Incident","Email"
"Weslaco Regional Rehabilitation Hospital","TX","Healthcare Provider",1434,2019-04-08,"Hacking/IT Incident","Email"
"Dallas County MHMR dba Metrocare Services","TX","Healthcare Provider",5290,2019-04-05,"Hacking/IT Incident","Email"
"Baystate Health","MA","Healthcare Provider",11658,2019-04-05,"Hacking/IT Incident","Email"
"University Hospitals Rainbow Babies & Children's Hospital","OH","Healthcare Provider",838,2019-04-05,"Unauthorized Access/Disclosure","Email"
"Gulf Coast Pain Consultants, LLC d/b/a Clearway Pain Solutions Institute","FL","Healthcare Provider",35000,2019-04-05,"Unauthorized Access/Disclosure","Electronic Medical Record"
"Health Recovery Services, Inc.","OH","Healthcare Provider",20485,2019-04-05,"Hacking/IT Incident","Network Server"
"Klaussner Furniture Industries, Inc. Employee Benefits Plan (through its sponsor, Klaussner Furniture Industries, Inc.)","NC","Health Plan",9352,2019-04-05,"Hacking/IT Incident","Network Server"
"OB Pharmacy","CA","Healthcare Provider",3241,2019-04-03,"Hacking/IT Incident","Desktop Computer"
"Oregon Endodontic Group	","OR","Healthcare Provider",2952,2019-04-02,"Hacking/IT Incident","Email"
"International Rehabilitative Sciences Inc., dba RS Medical","WA","Healthcare Provider",1911,2019-04-01,"Hacking/IT Incident","Email"
"Myriad Genetic Laboratories, Inc.","UT","Healthcare Provider",1719,2019-04-01,"Unauthorized Access/Disclosure","Email"
"Regional Health Medical Clinic - Flormann Street","SD","Healthcare Provider",696,2019-04-01,"Unauthorized Access/Disclosure","Paper/Films"
"Burrell Behavioral Health","MO","Healthcare Provider",67493,2019-03-29,"Hacking/IT Incident","Network Server"
"Palmetto Health","SC","Healthcare Provider",23811,2019-03-29,"Hacking/IT Incident","Email"
"Main Line Endoscopy Centers","PA","Healthcare Provider",14305,2019-03-29,"Hacking/IT Incident","Email"
"David E. Beneson, DPM","MI","Healthcare Provider",12542,2019-03-29,"Hacking/IT Incident","Electronic Medical Record, Network Server"
"DePaul","NY","Healthcare Provider",902,2019-03-27,"Hacking/IT Incident","Email"
"Northeast Philadelphia Vascular Surgeons, P.C.","PA","Healthcare Provider",8193,2019-03-27,"Hacking/IT Incident","Network Server"
"Desert Valley Dental of Glendale","AZ","Healthcare Provider",7500,2019-03-26,"Unauthorized Access/Disclosure","Desktop Computer, Network Server, Paper/Films"
"GULFPORT ANESTHESIA SERVICES, PA","MS","Healthcare Provider",20000,2019-03-26,"Theft","Other"
"Superior Dental Care","OH","Health Plan",38260,2019-03-25,"Hacking/IT Incident","Email"
"Mayo Clinic","MN","Healthcare Provider",1902,2019-03-22,"Unauthorized Access/Disclosure","Other"
"Human Development Center","MN","Healthcare Provider",1200,2019-03-22,"Hacking/IT Incident","Email"
"Navicent Health, Inc.","GA","Healthcare Provider",278016,2019-03-22,"Hacking/IT Incident","Email"
"Providence Health Plan ","OR","Health Plan",651,2019-03-19,"Theft","Laptop"
"ZOLL Services LLC","PA","Healthcare Provider",277319,2019-03-18,"Hacking/IT Incident","Network Server"
"Frederick Memorial Hospital","MD","Healthcare Provider",760,2019-03-18,"Hacking/IT Incident","Email"
"L.A. Care Health Plan","CA","Health Plan",1506,2019-03-15,"Unauthorized Access/Disclosure","Paper/Films"
"Southern Hills Eye Care","IA","Healthcare Provider",11617,2019-03-15,"Hacking/IT Incident","Network Server"
"All Florida Orthopaedics","FL","Healthcare Provider",1700,2019-03-14,"Unauthorized Access/Disclosure","Electronic Medical Record"
"Arizona Health Care Cost Containment System","AZ","Health Plan",3146,2019-03-11,"Unauthorized Access/Disclosure","Paper/Films"
"Little Rock Cancer Clinic, P.A.","AR","Healthcare Provider",3804,2019-03-11,"Hacking/IT Incident","Network Server"
"Equitas Health","OH","Healthcare Provider",569,2019-03-09,"Hacking/IT Incident","Email"
"Emerson Hospital","MA","Healthcare Provider",6314,2019-03-08,"Unauthorized Access/Disclosure","Other"
"Verity Medical Foundation","CA","Healthcare Provider",14894,2019-03-07,"Hacking/IT Incident","Email"
"Oklahoma Heart Hospital, LLC","OK","Healthcare Provider",1221,2019-03-07,"Theft","Desktop Computer"
